stop_id,stop_name,station_id,geo_cluster
B_040010-TULIPAN,Tulipán,station_0_0,0
B_05001D0-EIZTATULIPAN,Calz. Ermita Iztapalapa - Tulipan,station_0_1,0
B_0547AX1-PERIFERICO,Anillo Periférico Canal de Garay - Periférico,station_0_2,0
B_05052C1-ERMLIRIO,Calz. Ermita Iztapalapa - Lirio,station_0_3,0
B_05161F0-CALZIZTACAMA,Calz. Ermita Iztapalapa - Cerrada Camarillo,station_0_4,0
B_0501611-CALZIZTACAMAR,Calz. Ermita Iztapalapa - Enrique Camarillo,station_0_4,0
B_0501611-CALZIZTAPERIF,Calz. Ermita Iztapalapa - Periférico,station_0_3,0
B_0501591-CALZIZTAMANT,Calz. Ermita Iztapalapa - Manto,station_0_3,0
B_0501590-CALZIZTATULIP,Calz. Ermita Iztapalapa - Tulipan,station_0_1,0
B_0501590-CALZIZTACIROB,Calz. Ermita Iztapalapa - Ciro B. Ceballos,station_0_5,0
B_0501590-CALZIZTAPERIF,Calz. Ermita Iztapalapa - Periférico,station_0_3,0
B_01020A00-CIRGPRIETO,Circuito Interior - Guillermo Prieto,station_1_0,1
B_CONGE1-GMOPRIETO,Guillermo Prieto,station_1_1,1
B_CONGE0-MOCAMPO83,Melchor Ocampo  83,station_1_2,1
B_05019A1-CTOMOPRIETO,Circuito Interior Melchor Ocampo - Guillermo Prieto,station_1_3,1
B_05019A1-VFABREAHERRE,Virginia Fabregas - Alfonso Herrera,station_1_4,1
B_05019A0-CTOMOATZA,Circuito Interior Melchor Ocampo - Atzayactl,station_1_5,1
B_01020A00-CIRFCOPIMEN,Circuito Interior - Fancisco Pimentel,station_1_6,1
B_01020A00-CIRTATZAYA,Circuito Interio - Atzayacatl,station_1_7,1
B_0501070-JBARRERA,Juan de la Barrera,station_2_0,2
B_0300L4-20NOVIEMBR,20 de Noviembre,station_3_0,3
B_0300L4-MUSEOCDAD1,Museo de la Ciudad,station_3_1,3
B_0300L4-MUSEOCDAD0,Museo de la Ciudad,station_3_1,3
B_05145A0-CCREPSALVAD,C. C. República del Salvador - José María Pino Suarez y Mesones,station_3_2,3
B_0300L4-PINOSRZSR,Pino Suárez Sur,station_4_8,4
B_010C1750-FLAMNCPINOS,Base Flamencos y José María Pino Suárez,station_4_1,4
B_010C1740-JEROPINOSUA,Base San Jerónimo y José María Pino Suárez,station_4_2,4
B_010C1701-BSNEZAPINO,Base Nezahulacoyotl - José María Pino Suárez,station_4_3,4
B_010C1700-ABADFRAYSER,San Antonio Abad - Diagonal Fray Servando,station_4_4,4
B_010C1700-BSNEZAPINO,Base Nezahualcoyotl-José María Pino Suárez,station_4_5,4
B_010C1901-EJ1ASPINOSUA,Eje 1A Sur José María Izazaga - José María Pino Suárez,station_4_6,4
B_010C1901-EJ1AS20NOVIE,Eje 1A Sur José María Izazaga - 20 de Noviembre,station_4_7,4
B_0200L2-PINOSUAREZ,Pino Suárez,station_4_8,4
B_0200L1-PINOSUAREZ,Pino Suárez,station_4_9,4
B_0300L4-PINOSUAREZ,Pino Suárez,station_4_9,4
B_05111A0-FLAMENCOS,Flamencos,station_4_10,4
B_05145A1-CABADFLAMENC,Calz. San Antonio Abad - Flamencos,station_4_11,4
B_05145A1-SANJERONIMO,José María Pino Suarez - San Jerónimo,station_4_2,4
B_05145A0-20NOVJMIZAZAG,20 de Noviembre - José María Izazaga,station_4_7,4
B_010241-IZAZGPINO,Sobre J. M. Izazaga y  J.M. Pino Suárez,station_4_12,4
B_010241-IZAZG5FEB,Sobre J. M. Izazaga y  5 de Febrero,station_4_13,4
B_05SEL1-PINSD,Pino Suárez,station_4_14,4
B_0300L4-SANPABLO,San Pablo,station_5_0,5
B_0300L4-MSONORASUR,Mercado Sonora Sur,station_5_1,5
B_010C1901-EJ1SCIRCUNVA,Eje 1 Sur Fray Servando Teresa de Mier - Circunvalación,station_5_2,5
B_010C1901-EJ1STOPACIO,Eje 1 Sur Fray Servando Teresa de Mier - Topacio,station_5_3,5
B_010C1901-EJ1ASNPABLO,Eje 1A Sur Topacio - San Pablo,station_5_4,5
B_010C1901-EJ1ASJESUSMA,Eje 1A Sur Topacio - Jesús María,station_5_5,5
B_010C1900-EJ1SCLAVJERO,Eje 1 Sur Fray Servando Teresa de Mier - Clavijero,station_5_6,5
B_010C1900-EJ1SEJ1OTE,Eje 1 Sur Fray Servando Teresa de Mier - Eje 1 Oriente Anillo de Circunvalación,station_5_7,5
B_010C1900-EJ1SMSONORA,Eje 1 Sur Fray Servando Teresa de Mier - Mercado Sonora,station_5_8,5
B_0100C500-VIGASERVAN,La Viga y Fray Servando,station_5_9,5
B_0100C500-VIGAMERCED,La Viga y Metro Merced,station_5_10,5
B_0200L1-MERCED,Merced,station_5_13,5
B_0300L4-CIRCUNVALA,Circunvalación,station_5_12,5
B_0300L4-MERCED,La Merced,station_5_13,5
B_0300L4-CRUCESSUR,Las Cruces Sur,station_5_14,5
B_0500331-CIRCUCORREGI,Anillo de Circunvalación - Corregidora,station_5_15,5
B_0500331-CIRCUZAVALA,Anillo de Circunvalación - Zavala,station_5_16,5
B_0500331-CIRCUGRALANA,Anillo de Circunvalación - General Anaya ,station_5_17,5
B_0500331-CIRCURCORONA,Anillo de Circunvalación - Ramón Corona,station_5_18,5
B_0500331-CIRCUCARRETO,Anillo de Circunvalación - Carretones,station_5_19,5
B_0500331-CIRCUAGURRIO,Anillo de Circunvalación - Adolfo Gurrion,station_5_20,5
B_0500331-CNLFRYMIER,Av. Canal - Fray Servando Teresa de Mier,station_5_21,5
B_0500330-AVCJONCANAL,Av. Canal - Callejón del Canal,station_5_22,5
B_0500330-CIRCUNFRAYS,Anillo de Circunvalación - Fray Servando Teresa de Mier,station_5_2,5
B_0500330-CIRCUNSPABLO,Anillo de Circunvalación - San Pablo,station_5_23,5
B_0500330-CIRCUNSTOMAS,Anillo de Circunvalación - Santo Tomás,station_5_24,5
B_0500330-CIRCUNGRALAN,Anillo de Circunvalación - General Anaya,station_5_17,5
B_0500330-CIRCUNMANZAN,Anillo de Circunvalación - Manzanares,station_5_16,5
B_010240-FRAYVIGA,Sobre Fray Servando Teresa de Mier y Calz. De la Viga,station_5_25,5
B_010240-TOPACARRE,Spbre Topacio y Cda. Carretones,station_5_26,5
B_010240-ROLDAN,Sobre Calle del Roldán ,station_5_27,5
B_010241-ROLDNPBL,Sobre Calle de Roldán y  Plaza de San Pablo,station_5_28,5
B_010241-PBLCRUCS,Sobre Plaza de San Pablo y Las Cruces,station_5_29,5
B_010Z4A00-E1CIRCCORRE,Eje 1 Ote. Anillo de Circunvalación y Corregidora,station_5_15,5
B_010Z4A00-E1ACIRREPSAL,Eje 1 Ote. Anillo de Circunvalación y República de El Salvador,station_5_30,5
B_010Z4A00-E1ACIRSNPABL,Eje 1 Ote. Anillo de Circunvalación y Plaza de san Pablo,station_5_31,5
B_010Z4A00-E1SFRASETMIE,Eje 1 Ote. Anillo de Circunvalación y Eje 1 Sur Fray Servando Teresa de Mier,station_5_7,5
B_010Z4A00-E1OTEVIGCAVIG,Eje 1 Ote. Calz de la Viga y Calz de la Viga,station_5_32,5
B_010Z4E00-BPLSANPB,Base Eje 1 Ote. y Plaza de San Pablo,station_5_33,5
B_010Z4H01-BMPINOSURZ,Base Metro Pino Suárez y,station_5_34,5
B_010Z4H00-SPABTOPA,San Pablo y Topacio,station_5_35,5
B_0300L4-FRAYSERVND,Fray Servando,station_6_0,6
B_010C1900-EJ1SXOCONG,Eje 1 Sur Fray Servando Teresa de Mier - Xocongo,station_6_1,6
B_010240-FRAYXOCON,Sobre Fray Servando Teresa de Mier y Xocongo,station_6_2,6
B_010Z4H01-MEDMILFSTMIER,Escuela Médico Militar y Eje 1 Sur Fray Servando Teresa de Mier,station_6_3,6
B_0501261-MCOPILCO,Metro Copilco,station_7_0,7
B_0200L3-COPILCO,Copilco,station_7_0,7
B_05123A1-METROCOPILCO,Metro Copilco,station_7_0,7
B_05123A0-COPILCO,Copilco,station_7_0,7
B_0501261-PERFCOSUR,Periférico Sur,station_8_0,8
B_0100C101-PERIFJERON1,Periférico - Plaza San Jerónimo,station_8_1,8
B_0100C101-PERIFJERON2,Periférico - Plaza San Jerónimo 2,station_8_1,8
B_0100C101-PERIFJERONIM,Periférico - Eje 10 Sur San Jerónimo Lídice,station_8_2,8
B_0100C100-PERIFTARASQ2,Periférico - Tarasquillo 2,station_8_3,8
B_0100C100-PERIFTARASQU,Periférico - Tarasquillo,station_8_3,8
B_0100C100-PERIFJERONIM,Periférico - San Jerónimo,station_8_4,8
B_0501281-JEROLMATEOS,Av. San Jerónimo - Blvd. Adolfo López Mateos,station_8_5,8
B_0501280-EJ10SLMATEOS,eje 10 Sur - Blvd. Adolfo López Mateos,station_8_6,8
B_05057A0-CORTARASQUI,Anillo Periférico Blvd. Adolfo Ruiz Cortines - Tarasquillo,station_8_7,8
B_05057A0-APSJERONIMO,Anillo Periférico Sur - San Jerónimo,station_8_8,8
B_05034B1-EJ10SPERIFER,Eje 10 Sur - Anillo Periférico,station_8_9,8
B_05034B0-JRNMPERIFERI,Av. San Jerónimo - Anillo Periférico,station_8_8,8
B_05034B0-JRNMTARASQUI,Av. San Jerónimo - Tarasquillo,station_8_10,8
B_05123A1-TERASQUILLO,Terasquillo,station_8_11,8
B_05123A0-AVSANJERONIM,Av. San Jerónimo,station_8_12,8
B_05123A0-SUBURBIA,Suburbia,station_8_13,8
B_05123A0-SAMSCLUB,Sam's Club,station_8_14,8
B_0501261-POLLITOS,Los Pollitos,station_9_0,9
B_05123A1-PACHUCA,Pachuca,station_9_1,9
B_05123A1-CHABACANO,Chabacano,station_9_2,9
B_05123A1-FPEANGELES,Felipe Ángeles,station_9_3,9
B_05123A1-PRIVFERROCUE,Privada Ferrocarril a Cuernavaca,station_9_4,9
B_05123A0-CHIHUAHUA,Chihuahua,station_9_5,9
B_05123A0-PACHUCA,Pachuca,station_9_6,9
B_05123A0-TOLUCA,Toluca,station_9_7,9
B_05123A0-MORELIA,Morelia,station_9_8,9
B_05123A0-PPRIVFERRCUE,Privada Ferrocarril a Cuernavaca,station_9_4,9
B_05123A0-ALFOPRIANI,Alfonso Priani,station_9_9,9
B_05123A0-MCASTREJON,Manuel Castrejon,station_9_10,9
B_05123A0-FCOVILLA,Francisco Villa,station_9_11,9
B_05123A0-FLORESMAGON,Flores Magón,station_9_12,9
B_0501261-JMORNSALID,José Moreno Salido,station_10_0,10
B_0501260-ESTACION,La Estación,station_10_1,10
B_0501261-LALOMA,La Loma,station_11_0,11
B_0501260-CICLOPSTA,Ciclopista,station_11_1,11
B_0501261-MAGDALNC,Alcaldía Magdalena Contreras,station_12_0,12
B_0501260-ADORHILDA,Andador Hilda,station_12_1,12
B_0501261-AVSNFCO,Av. San Francisco,station_13_0,13
B_0501260-CCCONTRS,C. C. Contreras,station_14_0,14
B_0501260-PLZARTZ,Plaza Artz,station_15_0,15
B_0501260-SAMS,SAMS,station_16_0,16
B_0100C101-PERIFBLVDLU,Periférico - Blvd. de la Luz,station_16_1,16
B_0100C100-PERIFPCIVIL,Periférico - Protección Civil,station_16_2,16
B_05034B1-PERIFCODIF,Anillo Periférico - DIF,station_16_3,16
B_05123A1-CDAREDENCION,Cerrada Redención,station_16_4,16
B_05123A0-BLVDLUZ,Boulevard de la Luz,station_16_5,16
B_040010-ACAHUALT,Acahualtepec,station_17_0,17
B_05052C0-ERMCERVANTE,Calz. Ermita Iztapalapa - Luis Cervantes,station_17_1,17
B_05052C0-ERMSANTIAGO,Calz. Ermita Iztapalapa - Santiago,station_17_2,17
B_0501640-EJ8SMOCTEZUM,Eje 8 Sur Calz. Ermita Iztapalapa - Moctezuma,station_17_3,17
B_0501631-IZTACUAUHTEM,Calz. Ermita Iztapalapa - Cuauhtémoc,station_17_4,17
B_05162B1-EIZTNHEROES,Calz. Ermita Iztapalapa - Niños Héroes,station_17_5,17
B_05162B1-REYESEJ8S,Rafael Reyes - Eje 8 Sur Calz. Ermita Iztapalapa,station_17_6,17
B_05162B0-SANTIEJ8SEIZT,Av. Santiago - Eje 8 Sur Av. Calz. Ermita Iztapalapa,station_17_7,17
B_040010-ACATITL,Acatitlán,station_18_0,18
B_05052C0-ERMSENTIES,Calz. Ermita Iztapalapa - Octavio Senties,station_18_1,18
B_0501641-SENTIMARAVILL,Octavio Senties - Maravillas,station_18_2,18
B_0501640-EJ8SPENITENCI,Eje 8 Sur Calz. Ermita Iztapalapa - Penitenciaria,station_18_3,18
B_0501640-EJ8S12MTRS,Eje 8 Sur Calz. Ermita Iztapalapa - 12 Metros,station_18_4,18
