source,target,route_id,agency_id,avg_travel_time_s,trip_count,headway_secs
station_0_0,station_25_0,B_CMX040L10,TROLE,159.0,1,200
station_0_0,station_26_0,B_CMX040L10,TROLE,144.0,1,200
station_0_1,station_0_3,B_CMX050161,RTP,128.0,2,2160
station_0_1,station_0_3,B_CMX05161C,RTP,134.0,2,2100
station_0_1,station_0_3,B_CMX05161D,RTP,129.0,2,1320
station_0_1,station_0_5,B_CMX05001D,RTP,66.0,2,1920
station_0_1,station_0_5,B_CMX050159,RTP,61.0,2,1500
station_0_1,station_0_5,B_CMX05052C,RTP,61.0,2,420
station_0_1,station_0_5,B_CMX05161E,RTP,61.0,2,1920
station_0_3,station_0_4,B_CMX050161,RTP,95.0,2,2160
station_0_3,station_0_4,B_CMX05052C,RTP,112.0,2,420
station_0_3,station_0_4,B_CMX05161E,RTP,95.0,2,1920
station_0_3,station_0_4,B_CMX05161F,RTP,95.0,2,1320
station_0_3,station_25_12,B_CMX05001D,RTP,173.0,2,1920
station_0_3,station_25_12,B_CMX050159,RTP,156.0,2,1500
station_0_3,station_25_12,B_CMX05161C,RTP,156.0,2,2100
station_0_3,station_25_12,B_CMX05161D,RTP,156.0,2,1320
station_0_3,station_26_2,B_CMX05001D,RTP,114.0,2,1920
station_0_3,station_26_3,B_CMX05161C,RTP,290.0,2,2100
station_0_3,station_26_4,B_CMX05161D,RTP,157.0,2,1320
station_0_3,station_26_5,B_CMX050159,RTP,281.0,2,1500
station_0_3,station_26_5,B_CMX050161,RTP,278.0,2,2160
station_0_3,station_26_5,B_CMX05161E,RTP,280.0,2,1920
station_0_3,station_26_5,B_CMX05161F,RTP,278.0,2,1320
station_0_4,station_0_5,B_CMX05161F,RTP,77.0,2,1320
station_0_4,station_25_12,B_CMX050161,RTP,60.0,2,2160
station_0_4,station_25_12,B_CMX05161E,RTP,60.0,2,1920
station_0_4,station_25_12,B_CMX05161F,RTP,60.0,2,1320
station_0_4,station_25_13,B_CMX05052C,RTP,263.0,2,420
station_0_5,station_0_3,B_CMX05001D,RTP,67.0,2,1920
station_0_5,station_0_3,B_CMX050159,RTP,67.0,2,1500
station_0_5,station_0_3,B_CMX05161E,RTP,67.0,2,1920
station_0_5,station_0_3,B_CMX05161F,RTP,67.0,2,1320
station_0_5,station_26_2,B_CMX05052C,RTP,182.0,2,420
station_1000_0,station_999_0,B_CMX01006A,CC,57.0,1,480
station_1000_1,station_1001_3,B_CMX05052C,RTP,98.0,2,420
station_1000_1,station_999_1,B_CMX05052C,RTP,100.0,2,420
station_1001_0,station_1000_0,B_CMX01006A,CC,97.0,1,480
station_1001_1,station_1022_3,B_CMX020L12,METRO,198.0,3,120
station_1001_1,station_1312_0,B_CMX020L12,METRO,142.0,3,120
station_1001_2,station_1575_1,B_CMX0400L1,TROLE,129.0,2,480
station_1001_2,station_1599_0,B_CMX0400L1,TROLE,109.0,2,480
station_1001_3,station_1000_1,B_CMX05052C,RTP,101.0,2,420
station_1001_3,station_1002_2,B_CMX05052C,RTP,84.0,2,420
station_1002_0,station_1001_0,B_CMX01006A,CC,67.0,1,480
station_1002_1,station_1001_3,B_CMX05052C,RTP,92.0,2,420
station_1002_1,station_1002_3,B_CMX01024A,CC,53.0,1,300
station_1002_1,station_1002_3,B_CMX01024B,CC,53.0,1,300
station_1002_1,station_1572_1,B_CMX01024A,CC,114.0,1,300
station_1002_1,station_1572_1,B_CMX01024B,CC,114.0,1,300
station_1002_2,station_1003_2,B_CMX05052C,RTP,142.0,2,420
station_1002_3,station_1002_1,B_CMX01024A,CC,32.0,1,300
station_1002_3,station_1002_1,B_CMX01024B,CC,32.0,1,300
station_1002_3,station_1599_4,B_CMX01024A,CC,38.0,1,300
station_1002_3,station_1599_4,B_CMX01024B,CC,38.0,1,300
station_1003_0,station_1002_0,B_CMX01006A,CC,81.0,1,480
station_1003_1,station_1002_1,B_CMX05052C,RTP,84.0,2,420
station_1003_2,station_1004_2,B_CMX05052C,RTP,63.0,2,420
station_1004_0,station_1003_0,B_CMX01006A,CC,72.0,1,480
station_1004_1,station_1003_1,B_CMX05052C,RTP,114.0,2,420
station_1004_2,station_1796_1,B_CMX05052C,RTP,86.0,2,420
station_1005_0,station_1004_0,B_CMX01006A,CC,87.0,1,480
station_1006_0,station_1005_0,B_CMX01006A,CC,111.0,1,480
station_1006_1,station_1007_2,B_CMX05121A,RTP,156.0,3,360
station_1006_10,station_1006_5,B_CMX05001D,RTP,68.0,2,1920
station_1006_10,station_1007_3,B_CMX050120,RTP,173.0,3,540
station_1006_2,station_1006_1,B_CMX05121A,RTP,101.0,3,360
station_1006_3,station_1006_7,B_CMX05001D,RTP,49.0,2,1920
station_1006_4,station_1006_10,B_CMX05001D,RTP,57.0,2,1920
station_1006_4,station_1023_5,B_CMX05121A,RTP,106.0,3,360
station_1006_5,station_1006_4,B_CMX05121A,RTP,136.0,3,360
station_1006_5,station_1007_3,B_CMX05001D,RTP,104.0,2,1920
station_1006_6,station_1006_7,B_CMX05052C,RTP,66.0,2,420
station_1006_7,station_1023_6,B_CMX05001D,RTP,95.0,2,1920
station_1006_7,station_1023_8,B_CMX05052C,RTP,98.0,2,420
station_1006_8,station_1023_9,B_CMX050120,RTP,134.0,3,540
station_1006_9,station_1006_3,B_CMX05001D,RTP,82.0,2,1920
station_1006_9,station_1006_8,B_CMX050120,RTP,136.0,3,540
station_1007_0,station_1006_0,B_CMX01006A,CC,90.0,1,480
station_1007_1,station_1006_5,B_CMX05121A,RTP,155.0,3,360
station_1007_2,station_1006_9,B_CMX05001D,RTP,93.0,2,1920
station_1007_2,station_1006_9,B_CMX050120,RTP,93.0,3,540
station_1007_2,station_985_3,B_CMX05121A,RTP,98.0,3,360
station_1007_3,station_1007_4,B_CMX050120,RTP,42.0,3,540
station_1007_3,station_985_3,B_CMX05001D,RTP,102.0,2,1920
station_1007_4,station_985_3,B_CMX050120,RTP,60.0,3,540
station_1008_0,station_3101_1,B_CMX01022A,CC,79.0,1,480
station_1008_0,station_985_0,B_CMX01006A,CC,115.0,1,480
station_1008_1,station_1008_0,B_CMX01006A,CC,17.0,1,480
station_1008_1,station_1008_0,B_CMX01022A,CC,26.0,1,480
station_1008_1,station_1008_4,B_CMX01022A,CC,37.0,1,480
station_1008_2,station_1030_0,B_CMX01006A,CC,51.0,1,480
station_1008_3,station_1008_1,B_CMX01022A,CC,39.0,1,480
