station_id,agency_id,lat,lon,stop_name
station_0_0,TROLE,19.342902,-99.057158,Tulipán
station_0_1,RTP,19.342754999999997,-99.056355,Calz. Ermita Iztapalapa - Tulipan
station_0_3,RTP,19.34387666666667,-99.05939666666666,Calz. Ermita Iztapalapa - Lirio
station_0_4,RTP,19.34247,-99.05597499999999,Calz. Ermita Iztapalapa - Cerrada Camarillo
station_0_5,RTP,19.34355,-99.05821,Calz. Ermita Iztapalapa - Ciro B. Ceballos
station_1000_0,CC,19.36064,-99.14766,José María Rico y Rumania
station_1000_1,RTP,19.360815000000002,-99.148235,Av. Popocatepetl - Canarias
station_1001_0,CC,19.36128,-99.15171,José María Rico y Eje Central
station_1001_1,METRO,19.36134,-99.15142,Eje Central
station_1001_2,TROLE,19.36205,-99.15131,Popocatépetl
station_1001_3,RTP,19.361295,-99.15136000000001,Av. Popocatepetl - Eje Central Lázaro Cardenas
station_1002_0,CC,19.36171,-99.15452,José María Rico y División del Norte
station_1002_1,RTP,19.361850853333333,-99.15435814,Av. Popocatepetl - División del Norte
station_1002_1,CC,19.361850853333333,-99.15435814,Av. Popocatepetl - División del Norte
station_1002_2,RTP,19.36178,-99.15384,Eje 8 Popocatepetl - Tokio
station_1002_3,CC,19.360245065,-99.15385177499999,Sobre Av. División del Norte y Av. Nevado
station_1003_0,CC,19.36251,-99.15785,José María Rico y Bruno Traven
station_1003_1,RTP,19.36224,-99.15704,Av. Popocatepetl - Bruno Traven
station_1003_2,RTP,19.36278,-99.15824,Eje 8 Popocatepetl - Pirineos
station_1004_0,CC,19.36371,-99.16065,José María Rico y Palomar
station_1004_1,RTP,19.36367000000001,-99.16035,Av. Popocatepetl - Uxmal
station_1004_2,RTP,19.36362,-99.16007,Eje 8 Popocatepetl - Uxmal
station_1005_0,CC,19.36504,-99.16408,José María Rico y San Felipe
station_1006_0,CC,19.36644,-99.16855,José María Rico y Universidad
station_1006_1,RTP,19.36658,-99.16753,Universidad - Popocatepetl
station_1006_10,RTP,19.36706,-99.16731,Eje 8 Sur José María Rico
station_1006_2,RTP,19.36922,-99.16592,Av. Universidad - Laboratorios Chopo Universidad
station_1006_3,RTP,19.36672,-99.1672,Eje 8 Sur José María Rico - Nicolas San Juan
station_1006_4,RTP,19.36852,-99.16633,Universidad - Parroquia
station_1006_5,RTP,19.36668,-99.16906,José María Rico y Eje 8 Sur - Gabriel Mancera
station_1006_6,RTP,19.3663,-99.16735,Eje 8 Popocatepetl - Av. Universidad
station_1006_7,RTP,19.36803,-99.16645,Av. Universidad - Plaza Universidad
station_1006_8,RTP,19.36811,-99.1663,Parroquia
station_1006_9,RTP,19.366670000000006,-99.16941,Gabriel Mancera
station_1007_0,CC,19.36727,-99.17229,José María Rico y Coyoacán
station_1007_1,RTP,19.36771,-99.17388,José María Rico - Adolfo Prieto
station_1007_2,RTP,19.36726,-99.17232,Av. Coyoacan
station_1007_3,RTP,19.36746,-99.17228,Coyoacan
station_1007_4,RTP,19.36776,-99.17358,Adolfo Prieto
station_1008_0,CC,19.36439,-99.17737,Mixcoac y Patricio Saenz
station_1008_1,CC,19.365057333333333,-99.177834,Barranca del Muerto y Mixcoac
station_1008_2,CC,19.36551,-99.17774,San Francisco y Mixcoac
station_1008_3,CC,19.364061,-99.176374,Rio Mixcoac y Moras
station_1008_4,CC,19.366301,-99.178652,Rio Mixcoac y Rodríguez Saro
station_1009_0,CC,19.36269,-99.18142,Barranca del Muerto y Popo
station_1009_1,CC,19.36274,-99.18232,Barranca del Muerto e Insurgentes
station_1009_2,MB,19.36176,-99.18285,José María Velasco
station_100_0,CC,19.45322,-99.198925,Calz. Legaria - Glorieta Ignacio Allende
station_1010_0,CC,19.36177,-99.184855,Barranca del Muerto y Félix Parra
station_1011_0,CC,19.36209,-99.18697,Barranca del Muerto y Macedonio Alcala
station_1012_0,CC,19.35867,-99.08977,Ermita I. y la Estrella
station_1012_1,RTP,19.35864,-99.08986,Calz. Ermita Iztapalapa - Camino Cerro de la Estrella
station_1013_0,CC,19.35794,-99.09334,Ermita I. y Metro Iztapalapa
station_1013_1,METRO,19.35783,-99.09345,Iztapalapa
station_1013_2,RTP,19.35785,-99.09346,Calz. Ermita Iztapalapa - Metro Iztapalapa
station_1014_0,CC,19.35669,-99.09775,Ermita I. y Puentetitla
station_1014_1,RTP,19.3567,-99.09748,Calz. Ermita Iztapalapa - Puente Titla
station_1015_0,CC,19.35654,-99.10922,Ertmita I. y Av. 5
station_1015_1,RTP,19.35615,-99.10816,Calz. Ermita Iztapalapa - Sur 125A
station_1015_2,RTP,19.35628,-99.10965,Calz. Ermita Iztapalapa - Trojes
station_1015_3,RTP,19.35648,-99.10925,Calz. Ermita Iztapalapa - Año de Juárez
station_1016_0,CC,19.36629,-99.12694,Río Churubusco y Municipio Libre
station_1016_1,CC,19.364796,-99.127844,Rio Churubusco y Av. Sinatel
station_1016_2,CC,19.365411,-99.126703,Rio Churubusco y Oriente 160
station_1017_0,CC,19.366215,-99.12963500000001,Municipio Libre y Molina Enrique
station_1017_1,CC,19.36644,-99.1308,Municipio Libre y Sur 77
station_1018_0,CC,19.366670000000006,-99.1331,Municipio Libre y Sur 73
