geo_cluster,n_stops,n_station_ids_tras_paso2,n_agencias,agencias,nombres
497,116,73,3,"['CC', 'RTP', 'TL']","['Acoxpa', 'Acoxpa - Tlalpan', 'Acueducto - San Juan de Dios', 'Anillo Periferico Blvd. Adolfo Ruiz Cortines - Renato Leduc', 'Anillo Periférico Blvd. Adolfo Ruiz Cortines - Puente Estadio Azteca', 'Anillo Periférico Blvd. Adolfo Ruiz Cortines - Renato Leduc', 'Anillo Periférico Blvd. Adolfo Ruiz Cortines - Tlalpan', 'Anillo Periférico y Blvd. Adolfo Ruiz Cortines', 'Anillo Periférico y Blvd. Adolfo Ruíz Cortines', 'Apatlaco', 'Calz. México-Xochimilco - Calz. de Tlalpan', 'Calz. de Tlalpan - Acoxpa', 'Calz. de Tlalpan - Calz. Acoxpa', 'Calz. de Tlalpan - Don Juan Bosco', 'Calz. de Tlalpan - Estadio Azteca', 'Calz. de Tlalpan - Glorieta Huipulco', 'Calz. de Tlalpan - Glorieta de Huipulco', 'Calz. de Tlalpan - México-Xochimilco', 'Calz. de Tlalpan - Renato Leduc', 'Calz. de Tlalpan - San Alejandro', 'Cetram Estadio Azteca Anden A', 'Chimalcoyotl', 'Cierre de Circuito Cetram Estadio Azteca', 'Coapa', 'Elkar', 'Estadio Azteca', 'Estadio Azteca 2', 'Fray Pedro de Gante', 'Hospital Manuel Gea González.', 'Huipulco', 'Instituto Nacional de Especialidades', 'Luis Murillo', 'Luis Murillo - Tlalpan', 'Morelos', 'Periferico - Av. Pedregal', 'Periférico - Calz. de Tlalpan', 'Periférico - Huipulco', 'Periférico - Renato Leduc', 'Periférico - Tlalpan', 'Renato Leduc', 'Renato Leduc - Tlalpan', 'Renato Leduc y Anillo Periférico', 'Renato Leduc y Calz. de Tlalpan', 'San Alejandro', 'San Fernando', 'San Fernando - Calz. de Tlalpan', 'Sanborns - Hospitales', 'Sillón de Mendoza', 'Sobre Calz. Acoxpa', 'Sobre Calz. Acoxpa y Calz. De Tlalpan', 'Sobre Calz. De Tlalpan', 'Sobre Calz. De Tlalpan y Av. Acoxpa', 'Sobre Calz. De Tlalpan y Av. Acueducto', 'Sobre Calz. De Tlalpan y Av. Del Imán', 'Sobre Calz. De Tlalpan y Cto. Estadio Azteca', 'Sobre Calz. De Tlalpan y Estadio Azteca', 'Sobre Calz. De Tlalpan y La Paz', 'Sobre Calz. De Tlalpan y Luis Murillo', 'Sobre Calz. De Tlalpan y antes de Estadio Azteca', 'Sobre Calz. Tlalpan y Clínica 7 del IMSS', 'Sobre Calz. Tlalpan y E. Azteca', 'Sobre Calz. de Tlalpan e Instituto Electoral', 'Tlalpan', 'Tlalpan - Acoxpa', 'Tlalpan - Allende', 'Tlalpan - Apatlaco', 'Tlalpan - Av. del Iman', 'Tlalpan - CFE y Deportivo', 'Tlalpan - Calz. México-Xochimilco', 'Tlalpan - Chimalcoyotl', 'Tlalpan - Coapa', 'Tlalpan - Estadio Azteca', 'Tlalpan - Fray Pedro de Gante', 'Tlalpan - Glorieta de Huipulco', 'Tlalpan - Hidalgo', 'Tlalpan - Huipulco', 'Tlalpan - Huipulco Tren Ligero', 'Tlalpan - INER', 'Tlalpan - Morelos', 'Tlalpan - Periferico', 'Tlalpan - Renato Leduc', 'Tlalpan - San Fernando', 'Tlalpan - San Fernando Cent.', 'Tlalpan - San Fernando Hospital General', 'Tlalpan - San Fernando Izq. INER', 'Tlalpan - San Juan Bosco', 'Tlalpan - Xontepec', 'Tlalpan e Hidalgo ', 'Tlalpan e INER', 'Tlalpan y Allende', 'Tlalpan y Apatlaco', 'Tlalpan y Estadio Azteca', 'Tlalpan y Glorieta Huipulco', 'Tlalpan y Luis Murillo', 'Tlalpan y Morelos', 'Tlalpan y Periférico', 'Tlalpan y San Alejandro', 'Tlalpan y San Fernando', 'Tlalpan y San Juan de Dios', 'Tlalpan y Sillon de Mendoza', 'Unidad de Urgencias Respiratorias']"
180,79,52,5,"['CC', 'MB', 'METRO', 'RTP', 'TROLE']","['Acapulco - Puebla', 'Agustín Melgar', 'Agustín Melgar - Metro Chapultepec', 'Av. Chapultepec - Las Flores', 'Av. Chapultepec - Medellin', 'Av. Chapultepec - Metro Chapultepec', 'Av. Chapultepec - Metro Sevilla', 'Av. Chapultepec - Praga', 'Av. Chapultepec - Sevilla', 'Av. Chapultepec - Varsovia', 'Av. Chapultepec y Lejia', 'Av. Chapultepec y Monterrey', 'Av. Chapultepec y Sonora', 'Av. Chapultepec y Valladolid', 'Av. Constituyentes', 'Av. Constituyentes - Las Flores', 'Av. Sevilla y Londres', 'Base Cetram Chapultepec', 'Base Metro Chapultepec', 'CETRAM Chapultepec', 'CETRAM Chapultepec (base)', 'Cetram Chapultepec', 'Chapultepec', 'Chapultepec ', 'Chapultepec - Sonora', 'Cierre de Circuito Cetram Chapultepec', 'Circuito Interior - Constituyentes', 'Circuito Interior - Metro Chapultepec', 'Circuito Interior y Agustín Melgar', 'Constituyentes y José Vasconcelos', 'Constituyentes y Pedro Antonio Santos', 'Durango', 'Eje 2 Poniente Monerrey - Av. Chapultepec', 'Eje 2 Poniente Monerrey - Sinaloa', 'Eje 2 Poniente Monterrey - Durango', 'Eje 2 Poniente Monterrey - Hamburgo', 'Florencia - Reforma', 'Florencia y Londres', 'Florencia y Paseo de la Reforma', 'Insurgentes', 'José Vasconcelo 158', 'José Vasconcelos', 'José Vasconcelos 66', 'Juan Escutia', 'Juan Escutia y Zamora', 'Maestro José Vasconcelos - Eje 2 Sur Juan Escutia', 'Metro Chapultepec', 'Metro Sevilla', 'Monterrey y Av. Chapultepec', 'Oaxaca (base)', 'Puebla - Tampico', 'Puebla y Monterrey', 'Sevilla', 'Sevilla  y  Chapultepec', 'Sevilla - Av. Chapultepec', 'Sevilla - Hamburgo', 'Sinaloa - Av. Sonora', 'Sobre Av. Chapultepec y Tampico', 'Sobre Av. Veracruz y Av. Chapultepec', 'Sonora', 'Veracruz', 'eje 2 Sur Juan Escutia']"
195,73,42,3,"['CC', 'METRO', 'RTP']","['Alfonso Caso', 'Alpes', 'Andes', 'Anillo  Periférico Sur - Barranca del Muerto', 'Anillo Periférico Sur - Arciniega y Luis Alconedo', 'Anillo Periférico Sur - Barranca del Muerto', 'Av. Centenario', 'Av. Lomas de Platero', 'Av. Lomas de Plateros', 'Av. Revolucion', 'Av. Revolución', 'Barranca del Muerto', 'Barranca del Muerto y Revolución', 'Barranca del Muerto y Tiburcio Sánchez', 'Base Barranca del Muerto', 'Base CETRAM Barranca del Muerto', 'Calz. Aguilas', 'Calz. De las Aguilas', 'Calz. De los Leones', 'Calzada de las Aguilas', 'Camino al Desierto de los Leones', 'Camino al Desierto de los Leones y Liga Maya', 'Condor', 'Corregidora', 'Estio', 'Etna', 'Felipe Villanueva', 'Fugiyama', 'Fujiyama', 'José María Velasco', 'José María Velazco', 'José María Velazco y Sagredo', 'Juan Pablo II', 'Juan Tinoco', 'Luis Alconedo', 'Metro Barranca del Muerto', 'Miguel Ocaranza', 'Mixcoac', 'Periferico', 'Periférico', 'Periférico - Barranca del Muerto', 'Periférico y Juan Tinoco', 'Revolución y Corregidora', 'Revolución y Felipe Villa Nueva', 'Revolución y José María Velazco', 'Revolución y Metro Barranca del Muerto', 'Sagredo y Plateros', 'Tiburcio Sanchez de la Barquera']"
2442,69,49,2,"['CC', 'RTP']","['# 89', '5 de Mayo', 'Anahuac', 'Andador Chiapas', 'Andador Querétaro', 'Angel Reyes', 'Av. Centenario', 'Av. Del Rosal', 'Av. Nuevo Leon', 'Aztecas', 'Belem de las Flores', 'Belen de las Flores', 'Boulevard del Durazno y Av. Centenario', 'C. Mixteca', 'C. Uno', 'Calz. De las Arcadas', 'Calz. De las Carretas', 'Cam. Puerto Ceguayo', 'Camino Punta Cehuayo', 'Camino a Punta de Ceguayo', 'Carlos A. Madrazo', 'Casa Blanca', 'Centenario', 'Cerrada de Chabacano', 'Charruas', 'Diaguitas', 'Frente a Telmex', 'Frente a Unidad Habitacional la Pera', 'G. Carmona', 'Gardenia', 'Guajiras', 'Jalisco', 'Jose Galvez Moya', 'José Galvez Moya', 'Lirio', 'Llano Redondo', 'Margarita', 'Mixteca', 'Mixtecas', 'Palmas', 'Pino', 'Pipitos', 'Portal Centenario', 'Principal', 'Prol. 5 de Mayo', 'Queretaro', 'Retorno de las Palmas', 'Rinconada Centenario', 'Tecnologico AO', 'Tenochtitlan', 'Teotihuacan', 'Tukurutai Acatl']"
197,61,42,4,"['CC', 'METRO', 'RTP', 'TROLE']","['Andrea del Sarto', 'Andrés de la Concha', 'Av. Patriotismo - Parque Goya', 'Av. Revolución', 'Av. Río Mixcoac - Colegio Simon Bolivar', 'Av. Río Mixcoac - Galicia', 'Base CETRAM Mixcoac', 'Benvenuto Cellini y Av. Revolución', 'C. C. Metro Mixcoac', 'Castañeda', 'Charco Azul', 'Circuito Interior y Empresa', 'Circuito Interior y Goya', 'Cto. Int. Río Mixcoac - del Ángel', 'Eje 7 Sur Extremadura', 'Empresa', 'Giotto', 'Goya', 'Guillain', 'José del Castillo', 'La Castañeda', 'Los Echave', 'Los Juárez', 'Metro Mixcoac', 'Miguel Cabrera', 'Miguel Ángel', 'Mixcoac', 'Mixcoac BASE', 'Mixcoac Norte', 'Mixcoac Sur', 'Patriotismo', 'Poussin', 'Revolución y Andrés de la Concha', 'Revolución y José del Castillo', 'Revolución y Los Juárez', 'Revolución y Metro Mixcoac', 'Rio Mixcoac y Del Ángel', 'Rio Mixcoac y Galicia', 'Rio Mixcoac y Patriotismo', 'Rio Mixcoac y Revolución', 'Rio Mixcoac y Simón Bolívar', 'Río Mixcoac', 'Río Mixcoac - Félix Parra', 'Santiago Rebull', 'Tiziano']"
87,52,38,4,"['CC', 'METRO', 'RTP', 'TROLE']","['Av. Azcapotzalco - Lago Gascasonica', 'Av. Mariano Escobedo - Mar Negro', 'Base Metro Cuitlahuac', 'Base Metro Tacuba', 'CETRAM Tacuba', 'CETRAM Tacuba 2', 'Calz. Legaria - Golfo de San Lorenzo', 'Calz. México - Tacuba y Parque Vía', 'Calz. México Tacuba', 'Calz. México Tacuba - Arbol de la Noche Triste', 'Calz. México Tacuba - CaNitas', 'Calz. México Tacuba - Ferrocarril a Cuernavaca', 'Calz. México Tacuba - Frente a Metro Tacuba', 'Calz. México Tacuba - Golfo de California', 'Calz. México Tacuba - Mar Tirreno', 'Calz. México Tacuba - Mariano Escobedo', 'Calz. México-Tacuba - Av. Cuitlahuac', 'Calz. México-Tacuba - Callejón de la Zanja', 'Calz. México-Tacuba - Cerrada Popotla', 'Calz. México-Tacuba - Mar Arabigo', 'Calz. México-Tacuba - Mar Hudson', 'Cuitláhuac', 'Eje 3 Norte Av. Cuitlahuac - México-Tacuba', 'Mar Caribe - México Tacuba', 'Mar Negro', 'México-Tacuba - Arafura', 'México-Tacuba - Arbol de la Noche Triste', 'México-Tacuba - Calz. Legaria', 'México-Tacuba - Cerrada Popotla', 'México-Tacuba - Colegio Militar', 'México-Tacuba - Cuitlahuac', 'México-Tacuba - Ferrocarril de Cuernavaca', 'México-Tacuba - Golfo de California', 'México-Tacuba - Mar Baffin', 'México-Tacuba - Mar Caribe', 'México-Tacuba - Mar Hudson', 'México-Tacuba - Mar Tireno', 'México-Tacuba - Mercado Tacuba', 'México-Tacuba - Metro Cuitlahuac', 'México-Tacuba - Metro Popotla', 'México-Tacuba - Metro Tacuba', 'México-Tacuba - Panaderia la Palanca', 'México-Tacuba - Parque CaNitas', 'México-Tacuba - Puente', 'Popotla', 'Tacuba']"
150,48,27,4,"['CC', 'METRO', 'RTP', 'TROLE']","['Av. 8 - Av. 4', 'Base Metro Aeropuerto', 'Blvd. Pto. Aéreo - Av. 6', 'Blvd. Pto. Aéreo - Norte 13', 'Blvd. Pto. Aéreo - Norte 9', 'Blvd. Pto. Aéreo - Teresa de Mier', 'Blvd. Pto. Aéreo - Zaragoza', 'Blvd. Pto. Aéreo 87', 'Blvd. Puerto Aéreo - Av. 4', 'Blvd. Puerto Aéreo - Aviación Comercial', 'Blvd. Puerto Aéreo - Calz. Ignacio Zaragoza', 'Blvd. Puerto Aéreo - I. Zaragoza', 'Blvd. Puerto Aéreo - Norte 13', 'Blvd. Puerto Aéreo - Norte 17', 'Blvd. Puerto Aéreo - Norte 3', 'Blvd. Puerto Aéreo - Norte 9', 'Blvd. pto. Aéreo-Av 4', 'Boulevard Puerto Aéreo', 'Bulevar Puerto Aéreo BASE', 'Circuito Interior - Av. 8', 'Circuito Interior - Clínica del IMSS', 'Circuito Interior - Fray Servando Teresa de Mier', 'Circuito Interior - Norte 13', 'Circuito Interior - Norte 3', 'Circuito Interior - Norte 9', 'Clínica 14 IMSS', 'Eje 1 Sur Fray Servando Teresa de Mier - Jesús Galindo y Villa', 'Eje 1 Sur Gral. Francisco Morazán - Av. 8 Calle 1', 'Eje 1 Sur Gral. Francisco Morazán - Av. 8 Cto. Interior Blvd. Puerto Aéreo', 'Fray Servando Teresa de Mier - Galindo y Villa', 'Metro Blvd. Puerto Aéreo', 'Metro Boulevard Puerto Aéreo', 'Norte 13', 'Plaza Aeropuerto', 'Potzolcalli Blvd. pto. Aéreo', 'Rio Churubusco y Francisco Morazán', 'Río Churubusco - Av. 8', 'Río Churubusco - Metro Puerto Aéreo', 'Terminal Puerto Aéreo']"
740,45,26,3,"['CC', 'RTP', 'TROLE']","['Aldama', 'Av. Jardín', 'Av. Nueces', 'Av. de las Nueces', 'Calle 8', 'CerdeNa', 'Ceylan', 'Cuitlahuac - Ferrocarril', 'Cuitlahuac - Nueces', 'Eje 3 Norte Av. Cuitlahuac - Av. Ceylan', 'Eje 3 Norte Av. Cuitlahuac - Av. Jardín', 'Eje 3 Norte Av. Cuitlahuac - Calle 8', 'Eje 3 Norte Av. Cuitlahuac - CerdeNa', 'Eje 3 Norte Av. Cuitlahuac - Ferrocarril Central', 'Eje 3 Norte Av. Cuitlahuac - Guanabana', 'Eje 3 Norte Av. Cuitlahuac - Nueces', 'Eje 3 Norte Av. Cuitlahuac - PiNa', 'Eje 3 Norte Av. Cuitlahuac - Plan de San Luis', 'Eje 3 Norte Av. Cuitlahuac - Platanales', 'Eje 3 Norte Av. Cuitlahuac - Real del Monte', 'F.C. Central', 'Ferrocarril Central', 'Jardín', 'Nueces', 'Nueces - Cuitlahuac', 'PiNa', 'Plan de San Luis', 'Plan de San Luis - Cuitlahuac', 'Platanales', 'Soriana Cuitláhuac', 'eje 3 Norte Av. Cuitlahuac - Av. Ceylan']"
181,43,32,4,"['CC', 'MB', 'METRO', 'RTP']","['Agustín V. Eguia y Av. Jalisco', 'Av. Revolución', 'Benjamín Franklin', 'Benjamín Franklin Carlos B. Zetina', 'Benjamín Franklin y Carlos Zetina', 'Benjamín Franklin y José Vasconcelos', 'Chicontepec', 'Circuito Interior - Benjamín Hill', 'Circuito Interior - Eje 4 Sur Benjamín Franklin', 'Circuito Interior - Juanacatlán', 'Circuito Interior - Metro Juanacatlán', 'Circuito Interior - Vicente Eguía', 'Circuito Interior y Benjamin Franklin', 'Circuito Interior y Francisco Márquez', 'De La Salle', 'Gob. Agustín V. Eguia y Joaquín Pérez', 'Gobernador José María Tornel', 'Gobernador Vicente Eguia', 'Gral. José Morán - Maestro José Vasconcelos', 'Gral. Pedro Antonio de los Santos', 'Ignacio esteva', 'Jalisco - Benjamín Franklin', 'José Moran y Pedro Antonio de los Santos', 'José Vasconcelos y Chicontepec', 'Juan Cano - Gobernador Ignacio Esteva', 'Juanacatlán', 'Maestro José Vasconcelos - Alfonso Reyes', 'Maestro José Vasconcelos - Eje  4 Sur Gob. Agustín Vicente Eguia', 'Metro Juanacatlán', 'Pedro Antonio de los Santos - Gómez Pedraza', 'Pedro Antonio de los Santos - Tornel', 'Progreso', 'Progreso y Av. Revolución', 'Revolución y Progreso', 'Vicente Eguia - Jalisco', 'Vicente Suarez', 'Vicente Suárez']"
5,41,35,4,"['CC', 'MB', 'METRO', 'RTP']","['Anillo de Circunvalación - Adolfo Gurrion', 'Anillo de Circunvalación - Carretones', 'Anillo de Circunvalación - Corregidora', 'Anillo de Circunvalación - Fray Servando Teresa de Mier', 'Anillo de Circunvalación - General Anaya', 'Anillo de Circunvalación - General Anaya ', 'Anillo de Circunvalación - Manzanares', 'Anillo de Circunvalación - Ramón Corona', 'Anillo de Circunvalación - San Pablo', 'Anillo de Circunvalación - Santo Tomás', 'Anillo de Circunvalación - Zavala', 'Av. Canal - Callejón del Canal', 'Av. Canal - Fray Servando Teresa de Mier', 'Base Eje 1 Ote. y Plaza de San Pablo', 'Base Metro Pino Suárez y', 'Circunvalación', 'Eje 1 Ote. Anillo de Circunvalación y Corregidora', 'Eje 1 Ote. Anillo de Circunvalación y Eje 1 Sur Fray Servando Teresa de Mier', 'Eje 1 Ote. Anillo de Circunvalación y Plaza de san Pablo', 'Eje 1 Ote. Anillo de Circunvalación y República de El Salvador', 'Eje 1 Ote. Calz de la Viga y Calz de la Viga', 'Eje 1 Sur Fray Servando Teresa de Mier - Circunvalación', 'Eje 1 Sur Fray Servando Teresa de Mier - Clavijero', 'Eje 1 Sur Fray Servando Teresa de Mier - Eje 1 Oriente Anillo de Circunvalación', 'Eje 1 Sur Fray Servando Teresa de Mier - Mercado Sonora', 'Eje 1 Sur Fray Servando Teresa de Mier - Topacio', 'Eje 1A Sur Topacio - Jesús María', 'Eje 1A Sur Topacio - San Pablo', 'La Merced', 'La Viga y Fray Servando', 'La Viga y Metro Merced', 'Las Cruces Sur', 'Mercado Sonora Sur', 'Merced', 'San Pablo', 'San Pablo y Topacio', 'Sobre Calle de Roldán y  Plaza de San Pablo', 'Sobre Calle del Roldán ', 'Sobre Fray Servando Teresa de Mier y Calz. De la Viga', 'Sobre Plaza de San Pablo y Las Cruces', 'Spbre Topacio y Cda. Carretones']"
