node_id,C_i
station_1023_2|METRO,130000.0
station_244_0|METRO,104000.0
station_349_13|METRO,104000.0
station_163_0|METRO,104000.0
station_468_3|METRO,104000.0
station_1090_3|METRO,104000.0
station_182_0|METRO,104000.0
station_1342_0|METRO,91000.0
station_112_1|METRO,91000.0
station_27_0|METRO,91000.0
station_344_1|METRO,91000.0
station_352_2|METRO,91000.0
station_1314_0|METRO,78000.0
station_1313_0|METRO,78000.0
station_995_2|METRO,78000.0
station_197_2|METRO,78000.0
station_1310_0|METRO,78000.0
station_1309_0|METRO,78000.0
station_1302_0|METRO,78000.0
station_1306_0|METRO,78000.0
station_1305_0|METRO,78000.0
station_1304_0|METRO,78000.0
station_1001_1|METRO,78000.0
station_1308_0|METRO,78000.0
station_1312_0|METRO,78000.0
station_1022_3|METRO,78000.0
station_1311_0|METRO,78000.0
station_1303_0|METRO,78000.0
station_1307_0|METRO,78000.0
station_1301_0|METRO,78000.0
station_128_6|METRO,71500.0
station_1319_0|METRO,52000.0
station_1350_0|METRO,52000.0
station_1351_0|METRO,52000.0
station_1352_0|METRO,52000.0
station_1353_0|METRO,52000.0
station_1354_0|METRO,52000.0
station_1355_0|METRO,52000.0
station_246_0|METRO,52000.0
station_245_0|METRO,52000.0
station_1322_0|METRO,52000.0
station_1323_0|METRO,52000.0
station_188_0|METRO,52000.0
station_1349_0|METRO,52000.0
station_1324_0|METRO,52000.0
station_1318_0|METRO,52000.0
station_1317_0|METRO,52000.0
station_1325_0|METRO,52000.0
station_1321_0|METRO,52000.0
station_1320_0|METRO,52000.0
station_1316_0|METRO,52000.0
station_565_6|METRO,52000.0
station_565_5|METRO,52000.0
station_1359_0|METRO,52000.0
station_1356_0|METRO,52000.0
station_1358_0|METRO,52000.0
station_7_0|METRO,52000.0
station_829_0|METRO,52000.0
station_857_4|METRO,52000.0
station_860_8|METRO,52000.0
station_765_0|METRO,52000.0
station_687_6|METRO,52000.0
station_960_1|METRO,52000.0
station_654_13|METRO,52000.0
station_165_2|METRO,52000.0
station_4_8|METRO,52000.0
station_556_3|METRO,52000.0
station_161_2|METRO,52000.0
station_557_8|METRO,52000.0
station_558_4|METRO,52000.0
station_561_1|METRO,52000.0
station_559_10|METRO,52000.0
station_87_25|METRO,52000.0
station_87_3|METRO,52000.0
station_563_4|METRO,52000.0
station_562_7|METRO,52000.0
station_567_4|METRO,52000.0
station_87_0|METRO,52000.0
station_170_0|METRO,52000.0
station_167_2|METRO,52000.0
station_177_9|METRO,52000.0
station_461_1|METRO,52000.0
station_1084_3|METRO,52000.0
station_1087_2|METRO,52000.0
station_1093_3|METRO,52000.0
station_466_14|METRO,52000.0
station_466_15|METRO,52000.0
station_466_16|METRO,52000.0
station_168_0|METRO,52000.0
station_1101_1|METRO,52000.0
station_1095_1|METRO,52000.0
station_469_6|METRO,52000.0
station_350_7|METRO,52000.0
station_933_10|METRO,52000.0
station_1060_4|METRO,52000.0
station_206_9|METRO,52000.0
station_210_0|METRO,39000.0
station_991_2|METRO,39000.0
station_986_2|METRO,39000.0
station_1013_1|METRO,39000.0
station_1300_0|METRO,39000.0
station_212_0|METRO,39000.0
station_4_9|METRO,39000.0
station_1340_0|METRO,39000.0
station_1341_2|METRO,39000.0
station_1343_0|METRO,39000.0
station_1336_0|METRO,39000.0
station_1337_0|METRO,39000.0
station_1338_0|METRO,39000.0
station_1339_0|METRO,39000.0
station_1134_3|METRO,39000.0
station_111_2|METRO,39000.0
station_87_24|METRO,39000.0
station_1191_5|METRO,39000.0
station_150_2|METRO,39000.0
station_1193_1|METRO,39000.0
station_1193_2|METRO,39000.0
station_5_13|METRO,39000.0
station_701_5|METRO,39000.0
station_1248_1|METRO,39000.0
station_701_6|METRO,39000.0
station_701_7|METRO,39000.0
station_1199_1|METRO,39000.0
station_701_8|METRO,39000.0
station_1344_0|METRO,39000.0
station_1345_0|METRO,39000.0
station_1346_0|METRO,39000.0
station_1347_0|METRO,39000.0
station_1113_2|METRO,39000.0
station_834_2|METRO,39000.0
station_147_0|METRO,39000.0
station_700_5|METRO,39000.0
station_800_1|METRO,39000.0
station_815_1|METRO,39000.0
station_749_4|METRO,39000.0
station_1362_0|METRO,39000.0
station_1361_0|METRO,39000.0
station_1360_0|METRO,39000.0
station_685_8|METRO,39000.0
station_447_5|METRO,39000.0
station_1084_4|METRO,39000.0
station_951_2|METRO,39000.0
station_1032_3|METRO,39000.0
station_1331_0|METRO,39000.0
station_637_1|METRO,39000.0
station_181_4|METRO,39000.0
station_302_2|METRO,39000.0
station_1227_1|METRO,39000.0
station_466_17|METRO,39000.0
station_141_1|METRO,39000.0
station_671_3|METRO,39000.0
station_1076_1|METRO,39000.0
station_107_0|METRO,39000.0
station_1363_1|METRO,39000.0
station_1334_0|METRO,39000.0
station_1335_0|METRO,39000.0
station_1328_0|METRO,39000.0
station_1329_0|METRO,39000.0
station_1330_0|METRO,39000.0
station_180_6|METRO,39000.0
station_1332_0|METRO,39000.0
station_1333_0|METRO,39000.0
station_943_0|METRO,39000.0
station_180_17|METRO,39000.0
station_497_27|CC,27360.0
station_1498_0|SUB,27120.0
station_1500_0|SUB,27120.0
station_1499_0|SUB,27120.0
station_1501_0|SUB,27120.0
station_1497_0|SUB,27120.0
station_1326_0|METRO,26000.0
station_1357_0|METRO,26000.0
station_307_1|METRO,26000.0
station_66_0|METRO,26000.0
station_925_0|METRO,26000.0
station_354_5|METRO,26000.0
station_1261_1|METRO,26000.0
station_923_1|CC,24720.0
